"taxoncode","Taxon","High.I_Control_B","High.I_Control_A1","High.I_Control_A2","High.I_Impact_B","High.I_Impact_A1","High.I_Impact_A2","Low.I_Control_B","Low.I_Control_A1","Low.I_Control_A2","Low.I_Impact_B","Low.I_Impact_A1","Low.I_Impact_A2"
"LO0499A1","Tubificinae Group A",2107,1713,4944,346,381,417,10,8,22,183,66,4
"LO0499A2","Tubificinae Group B",1479,1281,2717,281,274,515,68,57,115,630,155,24
"LO060101","Lumbriculus variegatus",345,252,374,62,67,53,4,3,3,48,34,1
"OJ3","Cyclopoida",282,270,863,22,37,159,3,3,9,24,13,3
"QDAI04","Chironomus",319,261,2239,26,70,487,1,1,7,37,4,3
"QDAF15","Cricotopus",288,204,847,111,346,638,6,4,15,277,23,55
"II","Nematoda",168,134,580,33,31,194,16,12,49,200,39,25
"LO050702","Chaetogaster diaphanus",136,115,355,17,16,40,0,0,0,2,2,0
"KG080101","Physa acuta",95,77,146,30,57,165,1,1,2,6,5,4
"KP0301","Pisidium",53,41,111,3,3,98,3,2,5,10,3,4
"LO08","Enchytraeidae",43,39,219,9,22,3,1,1,6,10,0,0
"QDAE08","Procladius",31,22,184,2,9,7,0,0,2,4,0,0
"IF610101","Cura pinguis",34,27,42,5,7,128,2,2,2,44,76,13
"KG020601","Potamopyrgus antipodarum",31,27,96,4,2,22,21,17,43,17,6,27
"LO0501","Nais",11,9,23,4,4,15,9,7,16,49,17,10
"QT06","Hydropsychidae",0,0,0,0,0,0,6,4,2,2,1,34
"QD10","Simuliidae",1,1,2,0,1,40,6,4,13,209,49,568
"QDAH9978","Paratanytarsus/Rheotanytarsus",0,0,0,0,0,0,5,3,7,37,5,5
"QC3403","Notriolus",0,0,0,0,0,0,5,4,4,1,0,3
"QDAF03","Parakiefferiella",0,0,1,0,0,0,1,0,2,45,0,0
"LH01","Glossiphoniidae",8,7,14,4,7,37,1,1,2,23,11,12
NA,"% of all taxa",94,94,93,95,94,92,71,73,78,88,90,88
